OID,GEOID10,Census Tract,Block Group,Block Group Name,Tract and Block Group,Gross Land Acres,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Population Change 2000-2010,Percent Population Change 2000-2010,Population Change 2010-2017,Percent Population Change 2010-2017,2017 Population Density,2010 to 2017 Population Change,2010 to 2017 Percent Population Change,2010 Population Density
1,5.3033E+11,112,1,Block Group 1,11200.1,291.9055866,1407,1408.343,1410.138,1423.965,1440.163,1462.637,1489.16,1501.011,168.95,13.65%,94.011,6.68%,5.140410959,94,6.7,4.818493151
2,5.3033E+11,104.02,1,Block Group 1,10402.1,168.5293293,1191,1200.299,1211.873,1243.132,1254.251,1291.191,1318.355,1354.853,-6.047,-0.51%,163.853,13.76%,8.017751479,164,13.8,7.047337278
3,5.3033E+11,102,4,Block Group 4,10200.4,98.65113994,1192,1190.953,1193.672,1195.681,1204.326,1219.174,1236.413,1264.012,99.959,9.15%,72.012,6.04%,12.76767677,72,6,12.04040404
4,5.3033E+11,102,2,Block Group 2,10200.2,355.3410279,999,988.827,992.086,991.649,1000.82,1019.421,1036.292,1056.603,-56.04,-5.31%,57.603,5.77%,2.977464789,58,5.8,2.814084507
5,5.3033E+11,119,1,Block Group 1,11900.1,137.4972276,1322,1323.137,1324.18,1333.303,1347.959,1375.314,1403.767,1421.988,-8.052,-0.61%,99.988,7.56%,10.37956204,100,7.6,9.649635036
6,5.3033E+11,120,2,Block Group 2,12000.2,125.7057197,1175,1175.603,1177.237,1170.051,1178.084,1188.122,1205.317,1234.609,8.953,0.77%,59.609,5.07%,9.801587302,60,5.1,9.325396825
7,5.3033E+11,116,3,Block Group 3,11600.3,136.8190371,1242,1240.957,1243.463,1249.645,1262.567,1275.124,1297.539,1253.477,62.953,5.34%,11.477,0.92%,9.145985401,11,0.9,9.065693431
8,5.3033E+11,114.01,3,Block Group 3,11401.3,123.6987298,1454,1453.032,1460.31,1466.586,1482.681,1519.366,1547.236,1542.075,-27.058,-1.83%,88.075,6.06%,12.43548387,88,6.1,11.72580645
9,5.3033E+11,116,1,Block Group 1,11600.1,109.9557169,1203,1200.365,1206.448,1209.309,1227.556,1249.032,1278.711,1309.904,69.955,6.17%,106.904,8.89%,11.90909091,107,8.9,10.93636364
10,5.3033E+11,97.02,5,Block Group 5,9702.5,175.1831359,1155,1155.604,1155.439,1169.518,1182.72,1192.182,1233.001,1268.769,45.956,4.14%,113.769,9.85%,7.251428571,114,9.9,6.6
11,5.3033E+11,97.01,1,Block Group 1,9701.1,119.0847781,1650,1648.456,1666.371,1691.451,1710.048,1742.878,1774.174,1827.403,71.934,4.56%,177.403,10.75%,15.35294118,177,10.8,13.86554622
12,5.3033E+11,7,2,Block Group 2,700.2,107.9937002,1136,1135.07,1135.921,1142.147,1151.871,1167.671,1190.255,1219.623,33.956,3.08%,83.623,7.36%,11.2962963,84,7.4,10.51851852
13,5.3033E+11,6,5,Block Group 5,600.5,139.0368079,803,806.634,807.354,815.177,823.127,834.562,848.049,860.578,-16.033,-1.96%,57.578,7.17%,6.194244604,58,7.2,5.776978417
14,5.3033E+11,1,5,Block Group 5,100.5,56.96075559,942,940.874,941.345,947.084,955.918,1011.447,1038.299,1071.831,669.984,246.30%,129.831,13.78%,18.80701754,130,13.8,16.52631579
15,5.3033E+11,2,3,Block Group 3,200.3,244.1285025,1509,1507.513,1607.84,1643.375,1656.38,1677.046,1715.917,1763.119,-7.069,-0.47%,254.119,16.84%,7.225409836,254,16.8,6.18442623
16,5.3033E+11,27,2,Block Group 2,2700.2,123.0841787,1340,1340.647,1341.735,1348.837,1364.252,1391.225,1416.993,1449.282,15.949,1.21%,109.282,8.15%,11.7804878,109,8.2,10.89430894
17,5.3033E+11,27,1,Block Group 1,2700.1,89.50453426,1426,1426.375,1426.497,1433.893,1440.02,1452.544,1476.34,1512.472,53.944,3.93%,86.472,6.06%,16.8,86,6.1,15.84444444
18,5.3033E+11,11,2,Block Group 2,1100.2,137.2302204,1280,1278.926,1281.047,1286.346,1292.281,1303.887,1336.145,1369.251,80.953,6.75%,89.251,6.97%,9.99270073,89,7,9.343065693
19,5.3033E+11,12,1,Block Group 1,1200.1,122.0253321,1262,1255.986,1266.825,1275.431,1280.759,1296.491,1321.028,1279.456,20.951,1.69%,17.456,1.38%,10.48360656,17,1.4,10.3442623
20,5.3033E+11,12,2,Block Group 2,1200.2,60.70020132,1149,1136.914,1137.874,1146.813,1155.902,1172.826,1197.144,1106.759,-5.046,-0.44%,-42.241,-3.68%,18.14754098,-42,-3.7,18.83606557
21,5.3033E+11,16,3,Block Group 3,1600.3,92.44212303,1414,1414.755,1415.558,1422.696,1427.292,1493.617,1538.561,1595.809,74.945,5.60%,181.809,12.86%,17.34782609,182,12.9,15.36956522
22,5.3033E+11,17.02,1,Block Group 1,1702.1,84.91726997,1322,1322.716,1323.172,1331.871,1527.414,1732.364,1782.467,1836.906,88.951,7.21%,514.906,38.95%,21.61176471,515,38.9,15.55294118
23,5.3033E+11,14,1,Block Group 1,1400.1,79.79502253,1072,1071.04,1071.556,1076.82,1086.478,1095.721,1125.131,1163.206,2.957,0.28%,91.206,8.51%,14.5375,91,8.5,13.4
24,5.3033E+11,34,1,Block Group 1,3400.1,65.03047601,1140,1154.118,1154.741,1168.293,1177.919,1193.039,1213.667,1247.07,21.953,1.96%,107.07,9.39%,19.18461538,107,9.4,17.53846154
25,5.3033E+11,34,2,Block Group 2,3400.2,62.75537677,1139,1138.007,1141.219,1148.122,1154.759,1166.166,1181.537,1210.956,10.956,0.97%,71.956,6.32%,19.22222222,72,6.3,18.07936508
26,5.3033E+11,29,2,Block Group 2,2900.2,81.6858729,1416,1414.748,1415.07,1420.697,1431.338,1445.183,1465.264,1499.539,84.948,6.38%,83.539,5.90%,18.29268293,84,5.9,17.26829268
27,5.3033E+11,29,3,Block Group 3,2900.3,72.87137686,1368,1357.95,1360.468,1367.181,1382.775,1393.587,1417.092,1450.343,80.948,6.29%,82.343,6.02%,19.8630137,82,6,18.73972603
28,5.3033E+11,28,2,Block Group 2,2800.2,49.78061453,896,895.032,898.354,906.323,907.476,912.763,931.133,947.841,-15.038,-1.65%,51.841,5.79%,18.96,52,5.8,17.92
29,5.3033E+11,43.01,1,Block Group 1,4301.1,85.11198901,1219,1221.406,1222.553,1229.417,1232.669,1236.391,1250.795,1277.713,552.973,83.03%,58.713,4.82%,15.03529412,59,4.8,14.34117647
30,5.3033E+11,38,1,Block Group 1,3800.1,85.44953496,1097,1099.664,1100.01,1105.049,1108.163,1115.852,1210.817,1288.827,70.958,6.92%,191.827,17.49%,15.16470588,192,17.5,12.90588235
31,5.3033E+11,42,3,Block Group 3,4200.3,135.9736896,1517,1507.803,1511.137,1520.175,1514.941,1552.222,1578.149,1596.828,157.946,11.62%,79.828,5.26%,11.74264706,80,5.3,11.15441176
32,5.3033E+11,22,2,Block Group 2,2200.2,140.3165667,1416,1405.66,1411.294,1420.996,1433.375,1453.332,1476.163,1510.731,55.944,4.11%,94.731,6.69%,10.79285714,95,6.7,10.11428571
33,5.3033E+11,40,1,Block Group 1,4000.1,530.2033199,1701,1702.927,1783.277,1799.339,1886.523,1919.359,1959.841,1993.623,183.939,12.13%,292.623,17.20%,3.762264151,293,17.2,3.209433962
34,5.3033E+11,52,5,Block Group 5,5200.5,40.71234126,1388,1382.629,1387.663,1404.118,1424.971,1685.565,1768.256,1922.659,337.958,32.19%,534.659,38.52%,46.90243902,535,38.5,33.85365854
35,5.3033E+11,51,1,Block Group 1,5100.1,79.20814725,1298,1296.749,1297.06,1302.785,1322.541,1340.529,1360.266,1391.003,127.954,10.94%,93.003,7.17%,17.60759494,93,7.2,16.43037975
36,5.3033E+11,43.01,3,Block Group 3,4301.3,92.27829216,1104,1104.661,1107.836,1114.046,1119.541,1131.564,1152.166,1178.51,-93.048,-7.77%,74.51,6.75%,12.81521739,75,6.7,12
37,5.3033E+11,59,2,Block Group 2,5900.2,88.95373637,1331,1332.011,1335.216,1344.141,1343.458,1359.325,1374.938,1413.423,166.953,14.34%,82.423,6.19%,15.87640449,82,6.2,14.95505618
38,5.3033E+11,47,4,Block Group 4,4700.4,138.5723201,1939,2122.366,2372.802,2512.288,2570.231,2681.775,3053.727,3443.245,519.943,36.64%,1504.245,77.58%,24.76978417,1504,77.6,13.94964029
39,5.3033E+11,47,3,Block Group 3,4700.3,74.41479707,2203,2203.41,2217.837,2374.178,2746.412,3249.695,3508.16,3801.72,966.952,78.23%,1598.72,72.57%,51.37837838,1599,72.6,29.77027027
40,5.3033E+11,60,1,Block Group 1,6000.1,60.22520011,1416,1424.739,1419.242,1424.256,1440.555,1466.395,1516.081,1560.658,60.946,4.50%,144.658,10.22%,26.01666667,145,10.2,23.6
41,5.3033E+11,67,1,Block Group 1,6700.1,83.58542619,1879,1876.455,1877.24,2341.287,2414.309,2450.748,2512.074,3599.377,672.953,55.80%,1720.377,91.56%,42.8452381,1720,91.6,22.36904762
42,5.3033E+11,66,1,Block Group 1,6600.1,195.7337263,1789,2123.185,2214.028,2346.974,2376.147,2406.067,2454.639,2634.935,419.944,30.67%,845.935,47.29%,13.44387755,846,47.3,9.12755102
43,5.3033E+11,75,3,Block Group 3,7500.3,34.09658889,1590,1587.985,1588.822,1621.616,1644.061,1676.037,1711.335,1722.236,89.94,6.00%,132.236,8.32%,50.64705882,132,8.3,46.76470588
44,5.3033E+11,65,1,Block Group 1,6500.1,168.8372226,1112,1111.035,1114.28,1117.435,1125.442,1141.647,1154.188,1180.067,-24.047,-2.12%,68.067,6.12%,6.982248521,68,6.1,6.579881657
45,5.3033E+11,76,1,Block Group 1,7600.1,42.16457958,1137,1133.71,1136.885,1155.9,1225.023,1251.498,1279.035,1318.29,74.957,7.06%,181.29,15.95%,31.38095238,181,15.9,27.07142857
46,5.3033E+11,53.02,3,Block Group 3,5302.3,461.8850593,2771,2818.771,2786.568,2815.14,2799.59,2782.758,2052.792,2064.905,192.895,7.48%,-706.095,-25.48%,4.46969697,-706,-25.5,5.997835498
47,5.3033E+11,60,3,Block Group 3,6000.3,95.85118887,1222,1226.74,1238.352,1243.056,1252.874,1266.568,1399.585,1450.222,50.956,4.35%,228.222,18.68%,15.10416667,228,18.7,12.72916667
48,5.3033E+11,48,2,Block Group 2,4800.2,73.08882959,1231,1233.478,1228.161,1242.764,1252.001,1269.843,1295.724,1326.761,48.952,4.14%,95.761,7.78%,18.17808219,96,7.8,16.8630137
49,5.3033E+11,71,2,Block Group 2,7100.2,136.3114826,2006,2003.354,2039.263,2557.661,2692.687,2816.399,3093.323,3255.285,1086.962,118.27%,1249.285,62.28%,23.93382353,1249,62.3,14.75
50,5.3033E+11,70,1,Block Group 1,7000.1,51.55038327,1083,1079.325,1082.233,1089.664,1096.424,1113.823,1139.076,1176.155,-18.043,-1.64%,93.155,8.60%,22.61538462,93,8.6,20.82692308
51,5.3033E+11,68,1,Block Group 1,6800.1,76.73511659,1291,1300.104,1300.404,1314.414,1321.638,1332.552,1361.476,1378.64,-8.047,-0.62%,87.64,6.79%,17.90909091,88,6.8,16.76623377
52,5.3033E+11,80.01,5,Block Group 5,8001.5,4.62754247,801,799.916,800.354,805.857,812.674,827.348,850.116,881.308,801,0.00%,80.308,10.03%,176.2,80,10,160.2
53,5.3033E+11,80.01,4,Block Group 4,8001.4,13.58338279,1432,1430.178,1430.734,1439.268,1618.27,1663.148,1826.395,1901.545,926.98,183.55%,469.545,32.79%,135.8571429,470,32.8,102.2857143
54,5.3033E+11,67,3,Block Group 3,6700.3,47.9836642,1220,1218.542,1215.106,1227.009,1238.141,1262.1,1300.775,1338.248,-23.05,-1.85%,118.248,9.69%,27.875,118,9.7,25.41666667
55,5.3033E+11,92,1,Block Group 1,9200.1,30.93635817,1326,1327.228,1327.22,1334.87,1361.084,1379.999,1603.18,1670.389,401.962,43.50%,344.389,25.97%,53.87096774,344,26,42.77419355
56,5.3033E+11,84,2,Block Group 2,8400.2,36.80708782,1422,1420.02,1420.624,1805.902,1865.649,1906.134,1949.25,2217.636,73.946,5.49%,795.636,55.95%,59.94594595,796,56,38.43243243
57,5.3033E+11,90,2,Block Group 2,9000.2,130.483008,1711,1700.872,1708.734,1718.276,1730.762,1760.294,1818.443,1871.387,359.946,26.64%,160.387,9.37%,14.39230769,160,9.4,13.16153846
58,5.3033E+11,87,1,Block Group 1,8700.1,84.83523098,1404,1406.562,1414.709,1419.963,1444.892,1469.926,1508.748,1563.668,-130.063,-8.48%,159.668,11.37%,18.4,160,11.4,16.51764706
59,5.3033E+11,79,3,Block Group 3,7900.3,30.36702738,872,871.129,871.643,884.6,898.95,919.742,941.099,994.919,97.969,12.66%,122.919,14.10%,33.16666667,123,14.1,29.06666667
60,5.3033E+11,88,3,Block Group 3,8800.3,52.97593421,944,945.252,950.045,955.987,949.799,971.772,989.76,1003.684,-19.038,-1.98%,59.684,6.32%,18.94339623,60,6.3,17.81132075
61,5.3033E+11,78,1,Block Group 1,7800.1,191.1380986,1235,1233.981,1230.189,1226.935,1232.651,1251.035,1267.805,1299.882,-20.048,-1.60%,64.882,5.25%,6.806282723,65,5.3,6.465968586
62,5.3033E+11,100.01,3,Block Group 3,10001.3,106.5812458,1447,1444.602,1487.805,1513.171,1528.866,1581.176,1603.462,1639.321,316.955,28.05%,192.321,13.29%,15.31775701,192,13.3,13.52336449
63,5.3033E+11,101,1,Block Group 1,10100.1,170.8017283,1112,1111.004,1110.986,1116.471,1117.776,1133.24,1146.398,1172.761,-46.043,-3.98%,60.761,5.46%,6.859649123,61,5.5,6.502923977
64,5.3033E+11,108,1,Block Group 1,10800.1,660.0280801,1358,1360.668,1360.839,1367.579,1373.11,1389.179,1407.463,1427.917,33.948,2.56%,69.917,5.15%,2.163636364,70,5.1,2.057575758
65,5.3033E+11,106,1,Block Group 1,10600.1,139.2596969,1437,1435.729,1437.78,1442.32,1449.501,1468.863,1482.891,1528.36,75.945,5.58%,91.36,6.36%,10.99280576,91,6.4,10.3381295
66,5.3033E+11,106,5,Block Group 5,10600.5,183.3772528,1474,1462.886,1474.805,1474.112,1485.245,1503.167,1528.996,1553.338,28.94,2.00%,79.338,5.38%,8.486338798,79,5.4,8.054644809
67,5.3033E+11,107.02,2,Block Group 2,10702.2,51.38457556,1421,1424.308,1488.917,1526.601,1552.815,1602.691,1620.636,1652.55,366.958,34.81%,231.55,16.30%,32.41176471,232,16.3,27.8627451
68,5.3033E+11,105,2,Block Group 2,10500.2,94.9524666,1261,1263.968,1264.528,1279.714,1290.54,1314.715,1339.762,1375.464,23.95,1.94%,114.464,9.08%,14.47368421,114,9.1,13.27368421
69,5.3033E+11,99,3,Block Group 3,9900.3,252.7418547,1219,1220.931,1224.543,1329.618,1351.517,1532.944,1589.977,1619.514,6.952,0.57%,400.514,32.86%,6.403162055,401,32.9,4.818181818
70,5.3033E+11,104.01,2,Block Group 2,10401.2,156.4631736,1782,1784.66,1785.917,1795.63,1812.513,1829.748,1850.386,1873.036,144.185,8.80%,91.036,5.11%,12.00641026,91,5.1,11.42307692
71,5.3033E+11,110.01,2,Block Group 2,11001.2,77.31359029,1104,1107.276,1108.296,1108.043,1112.284,1124.296,1146.866,1165.051,284.676,34.75%,61.051,5.53%,15.12987013,61,5.5,14.33766234
72,5.3033E+11,103,1,Block Group 1,10300.1,76.83568848,948,949.344,947.533,963.05,972.96,980.136,991.37,1010.428,-72.04,-7.06%,62.428,6.59%,13.11688312,62,6.6,12.31168831
73,5.3033E+11,111.02,2,Block Group 2,11102.2,70.53054758,1279,1278.329,1294.708,1302.428,1316.84,1330.837,1379.694,1332.639,99.952,8.48%,53.639,4.19%,18.77464789,54,4.2,18.01408451
74,5.3033E+11,119,5,Block Group 5,11900.5,211.385804,1591,1577.206,1584.21,1591.931,1602.754,1621.595,1652.534,1694.933,149.939,10.41%,103.933,6.53%,8.033175355,104,6.5,7.54028436
75,5.3033E+11,118,2,Block Group 2,11800.2,92.84070401,885,884.26,884.599,892.023,898.507,908.827,915.097,925.02,20.965,2.43%,40.02,4.52%,9.946236559,40,4.5,9.516129032
76,5.3033E+11,120,1,Block Group 1,12000.1,115.1775478,1082,1081.004,1081.501,1088.922,1081.585,1108.883,1131.089,1141.233,-79.048,-6.81%,59.233,5.47%,9.92173913,59,5.5,9.408695652
77,5.3033E+11,115,3,Block Group 3,11500.3,111.7499491,1415,1406.333,1409.354,1415.306,1421.492,1445.838,1474.211,1514.368,46.943,3.43%,99.368,7.02%,13.51785714,99,7,12.63392857
78,5.3033E+11,69,1,Block Group 1,6900.1,53.50251578,1042,1043.142,1043.896,1047.115,1058.821,1078.287,1097.765,1130.767,64.96,6.65%,88.767,8.52%,20.94444444,89,8.5,19.2962963
79,5.3033E+11,6,2,Block Group 2,600.2,61.11830362,1172,1170.858,1171.685,1178.649,1195.014,1211.803,1230.994,1266.382,-209.057,-15.14%,94.382,8.05%,20.75409836,94,8.1,19.21311475
80,5.3033E+11,3,1,Block Group 1,300.1,194.8139287,1258,1257.045,1262.044,1267.409,1274.21,1323.28,1350.823,1385.427,62.925,5.27%,127.427,10.13%,7.102564103,127,10.1,6.451282051
81,5.3033E+11,1,2,Block Group 2,100.2,71.26321504,1234,1234.519,1476.167,1515.534,1530.861,1554.673,1590.959,1772.443,-93.065,-7.01%,538.443,43.63%,24.95774648,538,43.6,17.38028169
82,5.3033E+11,20,1,Block Group 1,2000.1,137.5615301,1514,1507.522,1508.121,1526.526,1535.882,1557.288,1587.853,1632.074,121.945,8.76%,118.074,7.80%,11.82608696,118,7.8,10.97101449
83,5.3033E+11,19,3,Block Group 3,1900.3,119.3276827,1266,1267.084,1270.537,1271.606,1285.284,1292.069,1308.059,1342.961,68.953,5.76%,76.961,6.08%,11.28571429,77,6.1,10.63865546
84,5.3033E+11,18,1,Block Group 1,1800.1,104.2483239,1490,1488.802,1500.857,1510.551,1520.361,1525.25,1563.876,1588.151,130.947,9.64%,98.151,6.59%,15.26923077,98,6.6,14.32692308
85,5.3033E+11,18,3,Block Group 3,1800.3,68.44992027,1546,1546.651,1547.862,1569.264,1585.108,1638.175,1683.191,1730.459,193.944,14.34%,184.459,11.93%,25.44117647,184,11.9,22.73529412
86,5.3033E+11,11,1,Block Group 1,1100.1,124.8047735,1223,1221.987,1222.647,1230.384,1240.207,1262.315,1287.429,1295.388,52.951,4.53%,72.388,5.92%,10.36,72,5.9,9.784
87,5.3033E+11,33,1,Block Group 1,3300.1,78.99341267,1178,1188.136,1189.946,1196.732,1196.98,1215.498,1252.251,1304.732,72.956,6.60%,126.732,10.76%,16.51898734,127,10.8,14.91139241
88,5.3033E+11,21,1,Block Group 1,2100.1,140.2943272,1506,1506.382,1509.796,1510.66,1522.623,1536.354,1563.436,1600.932,35.942,2.45%,94.932,6.30%,11.43571429,95,6.3,10.75714286
89,5.3033E+11,9,1,Block Group 1,900.1,129.1454266,1093,1097.5,1098.327,1110.797,1117.223,1135.539,1159.508,1187.679,-33.047,-2.94%,94.679,8.66%,9.209302326,95,8.7,8.472868217
90,5.3033E+11,22,4,Block Group 4,2200.4,243.1035094,1130,1156.762,1156.483,1161.69,1161.648,1173.123,1195.126,1209.638,-119.116,-9.54%,79.638,7.05%,4.979423868,80,7,4.650205761
91,5.3033E+11,53.01,1,Block Group 1,5301.1,32.13111269,3246,3523.547,3580.382,3407.704,3581.404,3665.555,3779.432,3827.211,472.889,17.05%,581.211,17.91%,119.59375,581,17.9,101.4375
92,5.3033E+11,53.01,2,Block Group 2,5301.2,49.54141652,1692,1689.889,1786.743,1800.521,2037.816,2249.321,2674.707,2805.125,649.959,62.37%,1113.125,65.79%,56.1,1113,65.8,33.84
93,5.3033E+11,44,3,Block Group 3,4400.3,40.92287504,1609,1627.635,1652.152,1638.327,1659.811,1661.764,1676.442,1726.457,213.944,15.34%,117.457,7.30%,42.09756098,117,7.3,39.24390244
94,5.3033E+11,44,4,Block Group 4,4400.4,41.00318429,1765,1765.473,1769.713,1894.946,1993.095,2031.694,2071.256,2281.439,167.935,10.52%,516.439,29.26%,55.63414634,516,29.3,43.04878049
95,5.3033E+11,45,2,Block Group 2,4500.2,101.6112153,1598,1588.867,1594.87,1598.828,1606.939,1626.733,1647.003,1681.939,106.939,7.17%,83.939,5.25%,16.49019608,84,5.3,15.66666667
96,5.3033E+11,58.01,4,Block Group 4,5801.4,261.5442322,1069,1075.065,1075.513,1081.224,1088.971,1112.846,1143.088,1205.935,14.958,1.42%,136.935,12.81%,4.603053435,137,12.8,4.080152672
97,5.3033E+11,57,6,Block Group 6,5700.6,85.70084113,1245,1247.415,1254.176,1262.313,1270.46,1290.643,1317.723,1354.776,-69.052,-5.26%,109.776,8.82%,15.75581395,110,8.8,14.47674419
98,5.3033E+11,57,5,Block Group 5,5700.5,123.0843292,1017,1021.357,1024.862,1039.823,1052.484,1073.552,1107.158,1130.832,83.964,9.00%,113.832,11.19%,9.195121951,114,11.2,8.268292683
99,5.3033E+11,54,3,Block Group 3,5400.3,76.13761578,1279,1279.364,1281.831,1382.554,1397.832,1645.2,1838.673,2076.355,241.959,23.33%,797.355,62.34%,27.31578947,797,62.3,16.82894737
100,5.3033E+11,73,1,Block Group 1,7300.1,72.80144603,1685,1812.906,1827.93,1970.458,2524.701,2867.172,3293.951,3974.335,875.969,108.27%,2289.335,135.87%,54.43835616,2289,135.9,23.08219178
101,5.3033E+11,62,3,Block Group 3,6200.3,149.9692442,1007,1006.155,1008.935,1015.93,1021.225,1024.389,1037.069,1059.635,-0.042,0.00%,52.635,5.23%,7.066666667,53,5.2,6.713333333
102,5.3033E+11,53.01,3,Block Group 3,5301.3,35.00667801,1234,1226.761,1227.24,1234.631,1255.422,1276.902,1308.018,1343.135,95.954,8.43%,109.135,8.84%,38.37142857,109,8.8,35.25714286
103,5.3033E+11,64,1,Block Group 1,6400.1,74.30730623,1024,1027.242,1031.715,1039.166,1052.282,1067.566,1082.054,1079.185,35.958,3.64%,55.185,5.39%,14.58108108,55,5.4,13.83783784
104,5.3033E+11,63,2,Block Group 2,6300.2,137.8223315,1317,1317.747,1318.283,1327.877,1330.124,1351.374,1380.633,1417.26,-48.055,-3.52%,100.26,7.61%,10.26811594,100,7.6,9.543478261
105,5.3033E+11,70,5,Block Group 5,7000.5,18.55044806,1052,1051.906,1051.999,1058.797,1067.062,1086.032,1112.223,1125.485,8.959,0.86%,73.485,6.98%,59.21052632,73,7,55.36842105
106,5.3033E+11,35,3,Block Group 3,3500.3,148.4542411,1199,1197.869,1188.773,1189.483,1194.783,1226.233,1242.626,1273.161,102.958,9.39%,74.161,6.19%,8.601351351,74,6.2,8.101351351
107,5.3033E+11,49,1,Block Group 1,4900.1,48.47812207,1216,1214.678,1220.717,1239.116,1247.202,1257.252,1278.813,1310.626,133.957,12.38%,94.626,7.78%,27.3125,95,7.8,25.33333333
108,5.3033E+11,80.02,2,Block Group 2,8002.2,31.30627493,1255,1255.244,1255.819,1264.611,1319.108,1553.124,1646.432,1663.456,110.954,9.70%,408.456,32.55%,53.64516129,408,32.5,40.48387097
109,5.3033E+11,92,2,Block Group 2,9200.2,46.35922533,1499,1497.35,1497.447,1503.587,1510.75,1524.243,1587.154,1626.422,588.962,64.72%,127.422,8.50%,35.34782609,127,8.5,32.58695652
110,5.3033E+11,82,3,Block Group 3,8200.3,13.92043453,1008,1001.243,1001.604,1006.384,1013.708,1497,1591.192,1631.257,-181.047,-15.23%,623.257,61.83%,116.5,623,61.8,72
111,5.3033E+11,85,1,Block Group 1,8500.1,40.72049573,1127,1126.797,1123.96,1141.885,1149.375,1177.411,1208.315,1238.883,9.956,0.89%,111.883,9.93%,30.2195122,112,9.9,27.48780488
112,5.3033E+11,85,2,Block Group 2,8500.2,40.92658162,993,991.913,992.148,996.958,1002.922,877.527,971.313,1011.388,-194.049,-16.35%,18.388,1.85%,24.65853659,18,1.9,24.2195122
113,5.3033E+11,79,2,Block Group 2,7900.2,45.67125204,1116,1115.001,1118.709,1139.522,1153.757,1175.112,1216.167,1264.44,254.965,29.61%,148.44,13.30%,27.47826087,148,13.3,24.26086957
114,5.3033E+11,88,2,Block Group 2,8800.2,99.80932286,1213,1212.023,1212.745,1222.796,1239.902,1252.42,1282.576,1311.062,-61.05,-4.79%,98.062,8.08%,13.11,98,8.1,12.13
115,5.3033E+11,89,3,Block Group 3,8900.3,72.65886623,1190,1192.748,1259.223,1276.791,1290.365,1309.46,1336.983,1389.286,59.958,5.31%,199.286,16.75%,19.02739726,199,16.7,16.30136986
116,5.3033E+11,104.02,4,Block Group 4,10402.4,87.07647679,1224,1217.024,1212.265,1226.166,1234.098,1250.67,1278.913,1305.31,85.954,7.55%,81.31,6.64%,15,81,6.6,14.06896552
